demanda_id,empresa_id,competencia,tipo_demanda,descricao,status,responsavel_operacional,estagiario_responsavel,data_limite,observacao,concluida_em,concluida_por,percentual_grupo,bloqueada,motivo_bloqueio,atualizado_em
84964,74,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-07 15:07:04
85036,86,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-07 15:08:03
85037,86,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-07 15:08:03
100953,97,2026-05,COBRAR_HONORARIOS,COBRAR_HONORARIOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:45
100954,97,2026-05,EMISSAO_NF,EMISSAO_NF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:45
100955,97,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:45
101124,97,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:44
101125,97,2026-05,APUR_SIMPLES,APUR_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:44
101126,97,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:44
101127,97,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:45
81923,53,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
81924,53,2026-05,REL_MEI,REL_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
92723,53,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
92726,53,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
91756,83,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:45
91757,83,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:45
93153,84,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-11 11:30:42
93154,84,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-11 11:30:42
96087,93,2026-05,ENV_PARC_SIMPLES,ENV_PARC_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:47
96088,93,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:48
100949,95,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:45
100950,95,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:45
101023,46,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:37
101024,46,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:37
101025,46,2026-05,REL_MEI,REL_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:37
101026,46,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:37
92053,59,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:36
92393,52,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:36
